


FileID=92600;PersistantID=10.5683/SP2/FJXBRX;File Name=all_events_OnTheFly.tab;DateTime=2020-03-24T17:06:55.134-07:00[Canada/Pacific],FileID=92599;PersistantID=10.5683/SP2/FJXBRX;File Name=all_events.tab;DateTime=2020-03-24T17:06:55.291-07:00[Canada/Pacific],FileID=92601;PersistantID=10.5683/SP2/FJXBRX;File Name=all_intervals_all_data.tab;DateTime=2020-03-24T17:06:55.397-07:00[Canada/Pacific],FileID=92602;PersistantID=10.5683/SP2/FJXBRX;File Name=all_trails_CSAI2.tab;DateTime=2020-03-24T17:06:55.608-07:00[Canada/Pacific],FileID=92607;PersistantID=10.5683/SP2/FJXBRX;File Name=P10_HH.tab;DateTime=2020-03-24T17:06:55.718-07:00[Canada/Pacific],FileID=92608;PersistantID=10.5683/SP2/FJXBRX;File Name=P10_HL.tab;DateTime=2020-03-24T17:06:55.885-07:00[Canada/Pacific],FileID=92609;PersistantID=10.5683/SP2/FJXBRX;File Name=P10_LH.tab;DateTime=2020-03-24T17:06:56.038-07:00[Canada/Pacific],FileID=92610;PersistantID=10.5683/SP2/FJXBRX;File Name=P10_LL.tab;DateTime=2020-03-24T17:06:56.182-07:00[Canada/Pacific],FileID=92611;PersistantID=10.5683/SP2/FJXBRX;File Name=P11_HH.tab;DateTime=2020-03-24T17:06:56.340-07:00[Canada/Pacific],FileID=92612;PersistantID=10.5683/SP2/FJXBRX;File Name=P11_HL.tab;DateTime=2020-03-24T17:06:56.482-07:00[Canada/Pacific],FileID=92613;PersistantID=10.5683/SP2/FJXBRX;File Name=P11_LH.tab;DateTime=2020-03-24T17:06:56.613-07:00[Canada/Pacific],FileID=92614;PersistantID=10.5683/SP2/FJXBRX;File Name=P11_LL.tab;DateTime=2020-03-24T17:06:56.763-07:00[Canada/Pacific],FileID=92615;PersistantID=10.5683/SP2/FJXBRX;File Name=P12_HH.tab;DateTime=2020-03-24T17:06:56.885-07:00[Canada/Pacific],FileID=92616;PersistantID=10.5683/SP2/FJXBRX;File Name=P12_HL.tab;DateTime=2020-03-24T17:06:57.066-07:00[Canada/Pacific],FileID=92617;PersistantID=10.5683/SP2/FJXBRX;File Name=P12_LH.tab;DateTime=2020-03-24T17:06:57.175-07:00[Canada/Pacific],FileID=92618;PersistantID=10.5683/SP2/FJXBRX;File Name=P12_LL.tab;DateTime=2020-03-24T17:06:57.287-07:00[Canada/Pacific],FileID=92619;PersistantID=10.5683/SP2/FJXBRX;File Name=P13_HH.tab;DateTime=2020-03-24T17:06:57.457-07:00[Canada/Pacific],FileID=92620;PersistantID=10.5683/SP2/FJXBRX;File Name=P13_HL.tab;DateTime=2020-03-24T17:06:57.582-07:00[Canada/Pacific],FileID=92621;PersistantID=10.5683/SP2/FJXBRX;File Name=P13_LH.tab;DateTime=2020-03-24T17:06:57.715-07:00[Canada/Pacific],FileID=92622;PersistantID=10.5683/SP2/FJXBRX;File Name=P13_LL.tab;DateTime=2020-03-24T17:06:57.894-07:00[Canada/Pacific],FileID=92623;PersistantID=10.5683/SP2/FJXBRX;File Name=P14_HH.tab;DateTime=2020-03-24T17:06:58.057-07:00[Canada/Pacific],FileID=92624;PersistantID=10.5683/SP2/FJXBRX;File Name=P14_HL.tab;DateTime=2020-03-24T17:06:58.179-07:00[Canada/Pacific],FileID=92625;PersistantID=10.5683/SP2/FJXBRX;File Name=P14_LH.tab;DateTime=2020-03-24T17:06:58.307-07:00[Canada/Pacific],FileID=92626;PersistantID=10.5683/SP2/FJXBRX;File Name=P14_LL.tab;DateTime=2020-03-24T17:06:58.447-07:00[Canada/Pacific],FileID=92627;PersistantID=10.5683/SP2/FJXBRX;File Name=P15_HH.tab;DateTime=2020-03-24T17:06:58.602-07:00[Canada/Pacific],FileID=92628;PersistantID=10.5683/SP2/FJXBRX;File Name=P15_HL.tab;DateTime=2020-03-24T17:06:58.734-07:00[Canada/Pacific],FileID=92629;PersistantID=10.5683/SP2/FJXBRX;File Name=P15_LH.tab;DateTime=2020-03-24T17:06:58.872-07:00[Canada/Pacific],FileID=92630;PersistantID=10.5683/SP2/FJXBRX;File Name=P15_LL.tab;DateTime=2020-03-24T17:06:59.022-07:00[Canada/Pacific],FileID=92631;PersistantID=10.5683/SP2/FJXBRX;File Name=P16_HH.tab;DateTime=2020-03-24T17:06:59.152-07:00[Canada/Pacific],FileID=92632;PersistantID=10.5683/SP2/FJXBRX;File Name=P16_HL.tab;DateTime=2020-03-24T17:06:59.287-07:00[Canada/Pacific],FileID=92633;PersistantID=10.5683/SP2/FJXBRX;File Name=P16_LH.tab;DateTime=2020-03-24T17:06:59.429-07:00[Canada/Pacific],FileID=92634;PersistantID=10.5683/SP2/FJXBRX;File Name=P16_LL.tab;DateTime=2020-03-24T17:06:59.566-07:00[Canada/Pacific],FileID=92635;PersistantID=10.5683/SP2/FJXBRX;File Name=P17_HH.tab;DateTime=2020-03-24T17:06:59.709-07:00[Canada/Pacific],FileID=92636;PersistantID=10.5683/SP2/FJXBRX;File Name=P17_HL.tab;DateTime=2020-03-24T17:06:59.829-07:00[Canada/Pacific],FileID=92637;PersistantID=10.5683/SP2/FJXBRX;File Name=P17_LH.tab;DateTime=2020-03-24T17:06:59.949-07:00[Canada/Pacific],FileID=92638;PersistantID=10.5683/SP2/FJXBRX;File Name=P17_LL.tab;DateTime=2020-03-24T17:07:00.062-07:00[Canada/Pacific],FileID=92639;PersistantID=10.5683/SP2/FJXBRX;File Name=P18_HH.tab;DateTime=2020-03-24T17:07:00.191-07:00[Canada/Pacific],FileID=92640;PersistantID=10.5683/SP2/FJXBRX;File Name=P18_HL.tab;DateTime=2020-03-24T17:07:00.338-07:00[Canada/Pacific],FileID=92641;PersistantID=10.5683/SP2/FJXBRX;File Name=P18_LH.tab;DateTime=2020-03-24T17:07:00.463-07:00[Canada/Pacific],FileID=92642;PersistantID=10.5683/SP2/FJXBRX;File Name=P18_LL.tab;DateTime=2020-03-24T17:07:00.598-07:00[Canada/Pacific],FileID=92643;PersistantID=10.5683/SP2/FJXBRX;File Name=P19_HH.tab;DateTime=2020-03-24T17:07:00.723-07:00[Canada/Pacific],FileID=92644;PersistantID=10.5683/SP2/FJXBRX;File Name=P19_HL.tab;DateTime=2020-03-24T17:07:00.918-07:00[Canada/Pacific],FileID=92645;PersistantID=10.5683/SP2/FJXBRX;File Name=P19_LH.tab;DateTime=2020-03-24T17:07:01.035-07:00[Canada/Pacific],FileID=92646;PersistantID=10.5683/SP2/FJXBRX;File Name=P19_LL.tab;DateTime=2020-03-24T17:07:01.161-07:00[Canada/Pacific],FileID=92647;PersistantID=10.5683/SP2/FJXBRX;File Name=P20_HH.tab;DateTime=2020-03-24T17:07:01.292-07:00[Canada/Pacific],FileID=92648;PersistantID=10.5683/SP2/FJXBRX;File Name=P20_HL.tab;DateTime=2020-03-24T17:07:01.440-07:00[Canada/Pacific],FileID=92649;PersistantID=10.5683/SP2/FJXBRX;File Name=P20_LH.tab;DateTime=2020-03-24T17:07:01.570-07:00[Canada/Pacific],FileID=92650;PersistantID=10.5683/SP2/FJXBRX;File Name=P20_LL.tab;DateTime=2020-03-24T17:07:01.710-07:00[Canada/Pacific],FileID=92651;PersistantID=10.5683/SP2/FJXBRX;File Name=P22_HH.tab;DateTime=2020-03-24T17:07:01.829-07:00[Canada/Pacific],FileID=92652;PersistantID=10.5683/SP2/FJXBRX;File Name=P22_HL.tab;DateTime=2020-03-24T17:07:01.969-07:00[Canada/Pacific],FileID=92653;PersistantID=10.5683/SP2/FJXBRX;File Name=P22_LH.tab;DateTime=2020-03-24T17:07:02.088-07:00[Canada/Pacific],FileID=92654;PersistantID=10.5683/SP2/FJXBRX;File Name=P22_LL.tab;DateTime=2020-03-24T17:07:02.229-07:00[Canada/Pacific],FileID=92655;PersistantID=10.5683/SP2/FJXBRX;File Name=P23_HH.tab;DateTime=2020-03-24T17:07:02.351-07:00[Canada/Pacific],FileID=92656;PersistantID=10.5683/SP2/FJXBRX;File Name=P23_HL.tab;DateTime=2020-03-24T17:07:02.498-07:00[Canada/Pacific],FileID=92657;PersistantID=10.5683/SP2/FJXBRX;File Name=P23_LH.tab;DateTime=2020-03-24T17:07:02.652-07:00[Canada/Pacific],FileID=92658;PersistantID=10.5683/SP2/FJXBRX;File Name=P23_LL.tab;DateTime=2020-03-24T17:07:02.787-07:00[Canada/Pacific],FileID=92659;PersistantID=10.5683/SP2/FJXBRX;File Name=P24_HH.tab;DateTime=2020-03-24T17:07:02.924-07:00[Canada/Pacific],FileID=92660;PersistantID=10.5683/SP2/FJXBRX;File Name=P24_HL.tab;DateTime=2020-03-24T17:07:03.053-07:00[Canada/Pacific],FileID=92661;PersistantID=10.5683/SP2/FJXBRX;File Name=P24_LH.tab;DateTime=2020-03-24T17:07:03.195-07:00[Canada/Pacific],FileID=92662;PersistantID=10.5683/SP2/FJXBRX;File Name=P24_LL.tab;DateTime=2020-03-24T17:07:03.348-07:00[Canada/Pacific],FileID=92663;PersistantID=10.5683/SP2/FJXBRX;File Name=P25_HH.tab;DateTime=2020-03-24T17:07:03.481-07:00[Canada/Pacific],FileID=92664;PersistantID=10.5683/SP2/FJXBRX;File Name=P25_HL.tab;DateTime=2020-03-24T17:07:03.618-07:00[Canada/Pacific],FileID=92665;PersistantID=10.5683/SP2/FJXBRX;File Name=P25_LH.tab;DateTime=2020-03-24T17:07:03.754-07:00[Canada/Pacific],FileID=92666;PersistantID=10.5683/SP2/FJXBRX;File Name=P25_LL.tab;DateTime=2020-03-24T17:07:03.856-07:00[Canada/Pacific],FileID=92667;PersistantID=10.5683/SP2/FJXBRX;File Name=P26_HH.tab;DateTime=2020-03-24T17:07:04.019-07:00[Canada/Pacific],FileID=92668;PersistantID=10.5683/SP2/FJXBRX;File Name=P26_HL.tab;DateTime=2020-03-24T17:07:04.150-07:00[Canada/Pacific],FileID=92669;PersistantID=10.5683/SP2/FJXBRX;File Name=P26_LH.tab;DateTime=2020-03-24T17:07:04.283-07:00[Canada/Pacific],FileID=92670;PersistantID=10.5683/SP2/FJXBRX;File Name=P26_LL.tab;DateTime=2020-03-24T17:07:04.417-07:00[Canada/Pacific],FileID=92671;PersistantID=10.5683/SP2/FJXBRX;File Name=P27_HH.tab;DateTime=2020-03-24T17:07:04.578-07:00[Canada/Pacific],FileID=92672;PersistantID=10.5683/SP2/FJXBRX;File Name=P27_HL.tab;DateTime=2020-03-24T17:07:04.704-07:00[Canada/Pacific],FileID=92673;PersistantID=10.5683/SP2/FJXBRX;File Name=P27_LH.tab;DateTime=2020-03-24T17:07:04.844-07:00[Canada/Pacific],FileID=92674;PersistantID=10.5683/SP2/FJXBRX;File Name=P27_LL.tab;DateTime=2020-03-24T17:07:04.980-07:00[Canada/Pacific],FileID=92675;PersistantID=10.5683/SP2/FJXBRX;File Name=P28_HH.tab;DateTime=2020-03-24T17:07:05.096-07:00[Canada/Pacific],FileID=92676;PersistantID=10.5683/SP2/FJXBRX;File Name=P28_HL.tab;DateTime=2020-03-24T17:07:05.237-07:00[Canada/Pacific],FileID=92677;PersistantID=10.5683/SP2/FJXBRX;File Name=P28_LH.tab;DateTime=2020-03-24T17:07:05.355-07:00[Canada/Pacific],FileID=92678;PersistantID=10.5683/SP2/FJXBRX;File Name=P28_LL.tab;DateTime=2020-03-24T17:07:05.513-07:00[Canada/Pacific],FileID=92679;PersistantID=10.5683/SP2/FJXBRX;File Name=P29_HH.tab;DateTime=2020-03-24T17:07:05.661-07:00[Canada/Pacific],FileID=92680;PersistantID=10.5683/SP2/FJXBRX;File Name=P29_HL.tab;DateTime=2020-03-24T17:07:05.811-07:00[Canada/Pacific],FileID=92681;PersistantID=10.5683/SP2/FJXBRX;File Name=P29_LH.tab;DateTime=2020-03-24T17:07:05.960-07:00[Canada/Pacific],FileID=92682;PersistantID=10.5683/SP2/FJXBRX;File Name=P29_LL.tab;DateTime=2020-03-24T17:07:06.095-07:00[Canada/Pacific],FileID=92603;PersistantID=10.5683/SP2/FJXBRX;File Name=P9_HH.tab;DateTime=2020-03-24T17:07:06.283-07:00[Canada/Pacific],FileID=92604;PersistantID=10.5683/SP2/FJXBRX;File Name=P9_HL.tab;DateTime=2020-03-24T17:07:06.401-07:00[Canada/Pacific],FileID=92605;PersistantID=10.5683/SP2/FJXBRX;File Name=P9_LH.tab;DateTime=2020-03-24T17:07:06.560-07:00[Canada/Pacific],FileID=92606;PersistantID=10.5683/SP2/FJXBRX;File Name=P9_LL.tab;DateTime=2020-03-24T17:07:06.682-07:00[Canada/Pacific],FileID=92684;PersistantID=10.5683/SP2/FJXBRX;File Name=time_series.csv;DateTime=2020-03-24T17:07:06.820-07:00[Canada/Pacific]
FileID=82728;PersistantID=10.5683/SP2/XBUJCQ;File Name=cipo-408-E-1978-01_F1.tab;DateTime=2020-03-24T17:07:07.707-07:00[Canada/Pacific]


FileID=92077;PersistantID=10.5683/SP2/4WKTZF;File Name=20150220 Main and Census 2014-2013 Merged.v9 - Subject Coding-v.1.4.tab;DateTime=2020-03-24T17:07:07.819-07:00[Canada/Pacific]
FileID=81718;PersistantID=10.5683/SP2/Z9NOMS;File Name=NatureVancouverBirdRecords_csv.tab;DateTime=2020-03-24T17:07:08.421-07:00[Canada/Pacific]
FileID=82453;PersistantID=10.5683/SP2/WPN4AU;File Name=cipo-314-E-1965-10_F1.tab;DateTime=2020-03-24T17:07:08.511-07:00[Canada/Pacific]


FileID=82405;PersistantID=10.5683/SP2/MPKANZ;File Name=cipo-297-E-1962-06-b_F1.tab;DateTime=2020-03-24T17:07:08.628-07:00[Canada/Pacific]
